,Clusters,Davies-Bouldin,Dunns,DB Ranks,Dunn's,Final Ranks
0,2,0.2946392,3.3939818,13,13,13
1,3,0.6926242,1.8449757,5,11,9
2,4,0.7881712,1.8618967,1,12,6
3,5,0.9039303,1.34591,0,8,1
4,6,0.7739776,1.5550264,3,10,7
5,7,0.6881954,1.4938802,7,9,10
6,8,0.7742177,1.2479014,2,4,0
7,9,0.7382785,1.3044398,4,6,4
8,10,0.6795498,1.3044398,9,7,11
9,11,0.668133,1.2898738,11,5,12
10,12,0.6856002,0.9953363,8,0,2
11,13,0.6915897,1.1837977,6,3,3
12,14,0.6340211,1.088069,12,2,8
13,15,0.6712094,1.0203782,10,1,5
