"","x"
"640",10
"641",62
"642",41
"643",62
"644",5
"645",4
"646",3
"647",1
"648",45
"649",39
"650",4
"651",9
"652",30
"653",2
"654",4
"655",18
"656",2
"657",10
"658",3
"659",3
"660",3
"661",3
"662",11
"663",9
"664",13
"665",5
"666",5
"667",1
"668",5
"669",6
"670",6
"671",5
"672",37
"673",48
"674",18
"675",4
"676",40
"677",5
"678",6
"679",14
"680",48
"681",4
"682",25
"683",42
"684",1
"685",35
"686",35
"687",4
"688",5
"689",6
"690",48
"691",41
"692",12
"693",5
"694",9
"695",1
"696",4
"697",9
"698",6
"699",10
"700",49
"701",35
"702",5
"703",5
"704",4
"705",3
"706",48
"707",39
"708",10
"709",10
"710",9
"711",47
"712",47
"713",10
"714",39
"715",44
"716",37
"717",37
"718",43
"719",13
"720",35
"721",35
"722",14
"723",35
"724",35
"725",35
"726",6
"727",4
"728",4
"729",5
"730",12
"731",5
"732",3
"733",5
"734",4
"735",4
"736",4
"737",12
"738",3
"739",4
"740",10
"741",5
"742",3
"743",48
"744",6
"745",7
"746",1
"747",39
"748",9
"749",40
"750",43
"751",12
"752",47
"753",41
"754",9
"755",7
"756",4
"757",27
"758",7
"759",6
"760",14
"761",47
"762",2
"763",5
"764",45
"765",4
"766",50
"767",50
"768",27
"769",14
"770",10
"771",5
"772",3
"773",30
"774",5
"775",18
"776",43
"777",49
"778",49
"779",48
"780",10
"781",48
"782",60
"783",60
"784",25
"785",5
"786",13
"787",19
"788",11
"789",4
"790",30
"791",64
"792",12
"793",2
"794",1
"795",5
"796",10
"797",18
"798",11
"799",47
"800",5
"801",11
